model_id,epoch,next_epoch,timestamp,prediction,confidence,score,reason,truth,start_price,end_price,price_difference,round_current_timestamp,round_next_epoch_time,correct,directional_called,directional_correct,bull_called,bear_called,neutral_called,bull_called_bear_truth,bear_called_bull_truth,neutral_called_bull_truth,neutral_called_bear_truth,bull_called_neutral_truth,bear_called_neutral_truth,regime,run_direction,g8,g23,g38,g53,g68,g83,slope_g8,slope_g23,slope_g38,slope_g53,slope_g68,slope_g83,fan_width,fan_width_velocity,fan_width_acceleration,fan_order_score,g83_curvature,alignment,compression_velocity,flip_score,slope_sum,slope_magnitude,ratio_8_23_to_23_53,s23,s53,fan_width_raw,alignment_raw,compression_velocity_raw,flip_score_raw,slope_sign_s23,slope_sign_s53,slope_disagreement,slope_gap,abs_slope_sum,abs_compression_velocity,abs_flip_score,fan_to_slope_ratio,collapse_flag,weak_bull_exhaustion_flag,weak_bear_exhaustion_flag,possible_flip_zone,possible_run_zone,possible_transition_zone,fan_energy_total,fan_energy_ratio,fan_energy_velocity,fan_energy_acceleration,fan_sign_conflict,fan_energy_instability,hinge_gap,hinge_velocity,hinge_conflict,hinge_torsion,snap_divergence,snap_velocity,snap_score,phase_alignment,phase_strength,phase_velocity,fan_phase_score,directional_error_type,truth_direction_group,prediction_direction_group
trend_method_v2_1,320476,320477,2026-03-08T22:28:31.099779,Neutral,1.0,0.0,regime=NOISE|slope_sum=0.070987|v2_1_override=none,Bull,65984.12,66124.26,140.14,03/08/2026  10:23:58 PM,03/08/2026  10:28:45 PM,False,False,False,False,False,True,False,False,True,False,False,False,NOISE,Bull,,,,,,,,0.07281932585283357,,-0.0018323709373362362,,,,,,,,0.0,-1.6892046608700184,0.04183960218132207,0.07098695491549734,0.07098695491549734,-1.0006661339936973,0.07281932585283357,-0.0018323709373362362,7.342796181401354,0.0,-1.6892046608700184,0.04183960218132207,1,-1,True,0.07465169679016981,0.07098695491549734,1.6892046608700184,0.04183960218132207,103.43866968434126,True,False,False,True,False,True,0.07465169679016981,39.7404937881698,,,False,,,,False,,,,,,0.07465169679016981,,,neutral_called_bull_truth,Bull,Neutral
trend_method_v2_1,320477,320478,2026-03-08T22:33:33.098493,Neutral,1.0,0.0,regime=NOISE|slope_sum=0.550355|v2_1_override=none,Bear,66124.26,66100.0,-24.26,03/08/2026  10:28:59 PM,03/08/2026  10:33:47 PM,False,False,False,False,False,True,False,False,False,True,False,False,NOISE,Bull,,,,,,,,0.35384314557268226,,0.19651216460988508,,,,,,,,0.0,-14.708169464123785,0.1458588974784583,0.5503553101825673,0.5503553101825673,0.08306964968909131,0.35384314557268226,0.19651216460988508,24.334537373360945,0.0,-14.708169464123785,0.1458588974784583,1,1,False,0.15733098096279718,0.5503553101825673,14.708169464123785,0.1458588974784583,44.21604901983873,True,True,False,True,False,True,0.5503553101825673,1.8006170064592684,0.47570361339239753,,False,,,,False,,,,,,0.5503553101825673,,,neutral_called_bear_truth,Bear,Neutral
trend_method_v2_1,320478,320479,2026-03-08T22:38:33.144679,Neutral,1.0,0.0,regime=NOISE|slope_sum=2.060779|v2_1_override=none,Bull,66100.0,66163.9,63.9,03/08/2026  10:34:01 PM,03/08/2026  10:38:47 PM,False,False,False,False,False,True,False,False,True,False,False,False,NOISE,Bull,,,,,,,,0.6945698870276829,,1.3662091362239153,,,,,,,,0.0,-37.753750419346034,0.665528010418001,2.060779023251598,2.060779023251598,0.03666102360405073,0.6945698870276829,1.3662091362239153,154.4336735928082,0.0,-37.753750419346034,0.665528010418001,1,1,False,0.6716392491962324,2.060779023251598,37.753750419346034,0.665528010418001,74.93946311096236,True,True,False,True,False,True,2.060779023251598,0.5083920672258234,1.5104237130690308,1.0347200996766333,False,0.13481695595518176,,,False,,,,,,2.060779023251598,,,neutral_called_bull_truth,Bull,Neutral
trend_method_v2_1,320479,320480,2026-03-08T22:43:34.070251,Bull,1.0,0.6286293525172368,regime=RUN|slope_sum=0.628629|v2_1_override=none,Bull,66163.9,66503.48,339.58,03/08/2026  10:39:01 PM,03/08/2026  10:43:48 PM,True,True,True,True,False,False,False,False,False,False,False,False,RUN,Bull,,,,,,,,0.4575479924569663,,0.17108136006027053,,,,,,,,1.0,15.804857593640918,0.04864068870956548,0.6286293525172368,0.6286293525172368,-1.0762645480768704,0.4575479924569663,0.17108136006027053,44.576914060278796,1.0,15.804857593640918,0.04864068870956548,1,1,False,0.2864666323966958,0.6286293525172368,15.804857593640918,0.04864068870956548,70.91128322560552,False,False,False,False,True,False,0.6286293525172368,2.6744467795660265,-1.4321496707343613,-2.942573383803392,False,0.5911400752286192,,,False,,,,,,0.6286293525172368,,,correct_bull,Bull,Bull
trend_method_v2_1,320480,320481,2026-03-08T22:48:34.097335,Bull,1.0,0.20189489185759157,regime=RUN|slope_sum=0.201895|v2_1_override=none,Bull,66503.48,66520.83,17.35,03/08/2026  10:44:02 PM,03/08/2026  10:48:48 PM,True,True,True,True,False,False,False,False,False,False,False,False,RUN,Bull,,,,,,,,0.09913833486098156,,0.10275655699661002,,,,,,,,1.0,-0.8858461476484081,0.0355301020477089,0.20189489185759157,0.20189489185759157,-0.565770061113514,0.09913833486098156,0.10275655699661002,17.647574905553483,1.0,-0.8858461476484081,0.0355301020477089,1,1,False,0.003618222135628457,0.20189489185759157,0.8858461476484081,0.0355301020477089,87.40971474405288,False,False,False,False,True,False,0.20189489185759157,0.9647884062936458,-0.42673446065964526,1.005415210074716,False,0.19641573681994828,,,False,,,,,,0.20189489185759157,,,correct_bull,Bull,Bull
trend_method_v2_1,320481,320482,2026-03-08T22:53:35.084533,Neutral,1.0,0.0,regime=NOISE|slope_sum=-0.111112|v2_1_override=none,Bull,66520.83,66569.16,48.33,03/08/2026  10:49:02 PM,03/08/2026  10:53:49 PM,False,False,False,False,False,True,False,False,True,False,False,False,NOISE,Bear,,,,,,,,-0.22873322660234408,,0.11762114671000745,,,,,,,,0.0,-6.253506428314722,0.06930493018257301,-0.11111207989233662,0.11111207989233662,16.15612560605531,-0.22873322660234408,0.11762114671000745,7.696334591455525,0.0,-6.253506428314722,0.06930493018257301,-1,1,True,0.3463543733123515,0.11111207989233662,6.253506428314722,0.06930493018257301,69.26640738714441,True,False,False,True,False,True,0.3463543733123515,1.9446607434144576,0.14445948145475995,0.5711939421144052,False,0.2641609221386287,,,False,,,,,,0.3463543733123515,,,neutral_called_bull_truth,Bull,Neutral
trend_method_v2_1,320482,320483,2026-03-08T22:58:37.108215,Bear,1.0,-0.7714053834079095,regime=RUN|slope_sum=-0.771405|v2_1_override=none,Bull,66569.16,66630.13,60.97,03/08/2026  10:54:03 PM,03/08/2026  10:58:51 PM,False,True,False,False,True,False,False,True,False,False,False,False,RUN,Bear,,,,,,,,-0.5587149838975165,,-0.21269039951039304,,,,,,,,1.0,5.463240995290107,0.10973074412766093,-0.7714053834079095,0.7714053834079095,0.6245907732640698,-0.5587149838975165,-0.21269039951039304,39.17893388235825,1.0,5.463240995290107,0.10973074412766093,-1,-1,False,0.34602458438712347,0.7714053834079095,5.463240995290107,0.10973074412766093,50.789033529003675,False,False,False,True,True,False,0.7714053834079095,2.626893292709317,0.425051010095558,0.28059152864079806,False,0.2897127740691822,,,False,,,,,,0.7714053834079095,,,bear_called_bull_truth,Bull,Bear
trend_method_v2_1,320483,320484,2026-03-08T23:03:38.085567,Bear,1.0,2.267938303657502,regime=RUN|slope_sum=2.267938|v2_1_override=bull_run_instability,Bear,66630.13,66570.15,-59.98,03/08/2026  10:59:05 PM,03/08/2026  11:03:52 PM,True,True,True,False,True,False,False,False,False,False,False,False,RUN,Bull,,,,,,,,1.1706706905715691,,1.0972676130859327,,,,,,,,1.0,16.616087694084854,0.5095094119284544,2.267938303657502,2.267938303657502,-0.3513397587695664,1.1706706905715691,1.0972676130859327,150.32322416818351,1.0,16.616087694084854,0.5095094119284544,1,1,False,0.07340307748563646,2.267938303657502,16.616087694084854,0.5095094119284544,66.28188426720313,False,False,False,True,True,False,2.267938303657502,1.0668962399055952,1.4965329202495923,1.0714819101540343,False,0.2064731106103953,,,False,,,,,,2.267938303657502,,,correct_bear,Bear,Bear
trend_method_v2_1,320484,320485,2026-03-08T23:08:39.077197,Bull,1.0,1.3843483488326456,regime=RUN|slope_sum=1.384348|v2_1_override=none,Bull,66570.15,66818.88,248.73,03/08/2026  11:04:06 PM,03/08/2026  11:08:53 PM,True,True,True,True,False,False,False,False,False,False,False,False,RUN,Bull,,,,,,,,1.1224198555137264,,0.2619284933189192,,,,,,,,1.0,62.296557833076804,0.10519565910286655,1.3843483488326456,1.3843483488326456,-2.7986479103661894,1.1224198555137264,0.2619284933189192,102.35994617031247,1.0,62.296557833076804,0.10519565910286655,1,1,False,0.8604913621948072,1.3843483488326456,62.296557833076804,0.10519565910286655,73.94088796842766,False,False,False,True,True,False,1.3843483488326456,4.285214797716143,-0.8835899548248562,-2.3801228750744485,False,0.6243171724689698,,,False,,,,,,1.3843483488326456,,,correct_bull,Bull,Bull
trend_method_v2_1,320485,320486,2026-03-08T23:13:40.082981,Neutral,1.0,0.0,regime=NOISE|slope_sum=0.797391|v2_1_override=none,Bull,66818.88,67100.0,281.12,03/08/2026  11:09:07 PM,03/08/2026  11:13:54 PM,False,False,False,False,False,True,False,False,True,False,False,False,NOISE,Bull,,,,,,,,-0.30620148768502986,,1.1035922303999541,,,,,,,,0.0,-16.738463324596523,0.42443701351419044,0.7973907427149243,0.7973907427149243,0.6415720932569547,-0.30620148768502986,1.1035922303999541,102.0512470339745,0.0,-16.738463324596523,0.42443701351419044,-1,1,True,1.409793718084984,0.7973907427149243,16.738463324596523,0.42443701351419044,127.98147955231394,True,True,False,True,False,True,1.409793718084984,0.27745890125926226,0.025445369252338423,0.9090353240771947,False,0.08687838050547242,,,False,,,,,,1.409793718084984,,,neutral_called_bull_truth,Bull,Neutral
